ISO_COUNTRY_CODE,WIN_COUNTRY_CODE
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
HU,HU
PL,FR
UK,UK
UK,UK
UK,UK
FR,FR
FR,FR
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,ZA
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
DE,DE
DE,DE
RO,NO
RO,NO
RO,RO
RO,RO
RO,RO
RO,RO
RO,RO
RO,RO
RO,RO
RO,RO
RO,RO
RO,RO
RO,RO
RO,RO
RO,RO
RO,RO
RO,RO
RO,RO
RO,RO
RO,RO
RO,RO
RO,RO
RO,RO
RO,RO
RO,RO
RO,RO
RO,RO
RO,RO
RO,RO
RO,RO
RO,RO
RO,RO
ES,ES
ES,ES
DE,DE
DE,DE
DE,DE
DE,DE
PL,PL
PL,PL
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
IT,IT
IT,IT
IT,IT
ES,ES
DE,
ES,ES
ES,ES
ES,ES
ES,ES
ES,ES
ES,ES
ES,ES
ES,ES
ES,ES
ES,ES
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
IT,IT
ES,ES
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
PL,
ES,ES
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
IT,IT
IT,IT
IT,IT
IT,IT
IT,
IT,IT
IT,IT
IT,IT
IT,IT
IT,IT
IT,IT
IT,IT
IT,IT
IT,IT
IT,IT
IT,IT
IT,IT
IT,IT
IT,IT
IT,IT
IT,IT
IT,IT
IT,IT
IT,IT
IT,IT
IT,IT
IT,IT
IT,IT
IT,IT
IT,IT
IT,IT
IT,IT
IT,IT
IT,IT
IT,IT
IT,IT
IT,IT
IT,IT
IT,IT
IT,IT
IT,IT
IT,IT
IT,IT
IT,IT
IT,IT
IT,IT
IT,IT
IT,IT
IT,IT
IT,IT
IT,IT
IT,IT
IT,IT
IT,IT
IT,IT
PL,PL
PL,PL
PL,PL
ES,ES
ES,ES
ES,ES
ES,ES
EE,FI
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
EE,EE
EE,EE
EE,NL
EE,EE
IE,IE
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
IT,IT
IT,IT
IT,IT
IT,IT
IT,IT
IT,IT
IT,IT
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
GR,GR
GR,GR
GR,GR
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
ES,ES
ES,ES
ES,ES
ES,ES
ES,ES
ES,ES
ES,ES
ES,ES
ES,ES
ES,ES
ES,ES
ES,ES
ES,ES
ES,ES
ES,ES
ES,ES
ES,ES
SE,SE
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
PL,PL
DE,DE
PL,PL
FR,FR
FR,FR
FR,FR
FR,FR
FR,ES
FR,ES
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
FR,FR
IT,IT
FI,
FI,FI
FI,FI
FI,FI
FI,FI
ES,ES
